OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,Sentiment,Text,Tokens,Filtered_Tokens,Lemmatized_Tokens,Cleaned_Text
ORD200010,2023-12-29,C43443,Tablet,5,625.97,333 Main St,Credit Card,Returned,TRK98859248,9,WINTER15,Instagram,3129.85,Negative,Tablet Credit Card Instagram WINTER15,"['Tablet', 'Credit', 'Card', 'Instagram', 'WINTER15']","['Tablet', 'Credit', 'Card', 'Instagram', 'WINTER15']","['tablet', 'credit', 'card', 'instagram', 'winter15']",tablet credit card instagram winter15
ORD200011,2024-02-17,C93861,Monitor,3,49.14,831 Main St,Online,Returned,TRK48234646,7,SAVE10,Email,147.42,Negative,Monitor Online Email SAVE10,"['Monitor', 'Online', 'Email', 'SAVE10']","['Monitor', 'Online', 'Email', 'SAVE10']","['monitor', 'online', 'email', 'save10']",monitor online email save10
ORD200013,2023-08-30,C88348,Laptop,3,201.49,903 Main St,Credit Card,Returned,TRK81913874,4,FREESHIP,Facebook,604.47,Negative,Laptop Credit Card Facebook FREESHIP,"['Laptop', 'Credit', 'Card', 'Facebook', 'FREESHIP']","['Laptop', 'Credit', 'Card', 'Facebook', 'FREESHIP']","['laptop', 'credit', 'card', 'facebook', 'freeship']",laptop credit card facebook freeship
ORD200015,2023-07-17,C39416,Printer,1,473.96,942 Main St,Cash,Delivered,TRK54930938,3,unknown,Google,473.96,Positive,Printer Cash Google unknown,"['Printer', 'Cash', 'Google', 'unknown']","['Printer', 'Cash', 'Google', 'unknown']","['printer', 'cash', 'google', 'unknown']",printer cash google unknown
ORD200017,2024-03-02,C60672,Tablet,1,423.4,382 Main St,Debit Card,Shipped,TRK11972116,3,unknown,Referral,423.4,Positive,Tablet Debit Card Referral unknown,"['Tablet', 'Debit', 'Card', 'Referral', 'unknown']","['Tablet', 'Debit', 'Card', 'Referral', 'unknown']","['tablet', 'debit', 'card', 'referral', 'unknown']",tablet debit card referral unknown
ORD200019,2023-01-23,C14552,Monitor,5,224.0,273 Main St,Cash,Returned,TRK59101365,9,SAVE10,Google,1120.0,Negative,Monitor Cash Google SAVE10,"['Monitor', 'Cash', 'Google', 'SAVE10']","['Monitor', 'Cash', 'Google', 'SAVE10']","['monitor', 'cash', 'google', 'save10']",monitor cash google save10
ORD200021,2024-11-17,C99023,Monitor,4,342.95,569 Main St,Cash,Delivered,TRK52646983,6,unknown,Google,1371.8,Positive,Monitor Cash Google unknown,"['Monitor', 'Cash', 'Google', 'unknown']","['Monitor', 'Cash', 'Google', 'unknown']","['monitor', 'cash', 'google', 'unknown']",monitor cash google unknown
ORD200023,2025-04-09,C42372,Phone,4,273.25,755 Main St,Debit Card,Cancelled,TRK36168083,5,FREESHIP,Referral,1093.0,Negative,Phone Debit Card Referral FREESHIP,"['Phone', 'Debit', 'Card', 'Referral', 'FREESHIP']","['Phone', 'Debit', 'Card', 'Referral', 'FREESHIP']","['phone', 'debit', 'card', 'referral', 'freeship']",phone debit card referral freeship
ORD200024,2024-10-30,C17470,Laptop,2,230.95,956 Main St,Online,Delivered,TRK28775057,3,WINTER15,Referral,461.9,Positive,Laptop Online Referral WINTER15,"['Laptop', 'Online', 'Referral', 'WINTER15']","['Laptop', 'Online', 'Referral', 'WINTER15']","['laptop', 'online', 'referral', 'winter15']",laptop online referral winter15
ORD200025,2024-07-24,C42577,Monitor,1,399.98,709 Main St,Debit Card,Delivered,TRK69423327,3,WINTER15,Email,399.98,Positive,Monitor Debit Card Email WINTER15,"['Monitor', 'Debit', 'Card', 'Email', 'WINTER15']","['Monitor', 'Debit', 'Card', 'Email', 'WINTER15']","['monitor', 'debit', 'card', 'email', 'winter15']",monitor debit card email winter15
ORD200026,2024-03-06,C21944,Laptop,5,59.55,296 Main St,Online,Delivered,TRK80276812,6,unknown,Referral,297.75,Positive,Laptop Online Referral unknown,"['Laptop', 'Online', 'Referral', 'unknown']","['Laptop', 'Online', 'Referral', 'unknown']","['laptop', 'online', 'referral', 'unknown']",laptop online referral unknown
ORD200027,2024-02-22,C97593,Printer,1,472.74,881 Main St,Online,Shipped,TRK89117573,6,WINTER15,Google,472.74,Positive,Printer Online Google WINTER15,"['Printer', 'Online', 'Google', 'WINTER15']","['Printer', 'Online', 'Google', 'WINTER15']","['printer', 'online', 'google', 'winter15']",printer online google winter15
ORD200029,2024-09-20,C33260,Desk,3,423.53,930 Main St,Credit Card,Delivered,TRK59744090,6,SAVE10,Referral,1270.59,Positive,Desk Credit Card Referral SAVE10,"['Desk', 'Credit', 'Card', 'Referral', 'SAVE10']","['Desk', 'Credit', 'Card', 'Referral', 'SAVE10']","['desk', 'credit', 'card', 'referral', 'save10']",desk credit card referral save10
ORD200031,2023-06-30,C26445,Chair,3,500.08,996 Main St,Debit Card,Returned,TRK31229981,6,unknown,Facebook,1500.24,Negative,Chair Debit Card Facebook unknown,"['Chair', 'Debit', 'Card', 'Facebook', 'unknown']","['Chair', 'Debit', 'Card', 'Facebook', 'unknown']","['chair', 'debit', 'card', 'facebook', 'unknown']",chair debit card facebook unknown
ORD200032,2023-05-01,C12388,Tablet,5,536.72,830 Main St,Cash,Delivered,TRK99261395,10,unknown,Email,2683.6,Positive,Tablet Cash Email unknown,"['Tablet', 'Cash', 'Email', 'unknown']","['Tablet', 'Cash', 'Email', 'unknown']","['tablet', 'cash', 'email', 'unknown']",tablet cash email unknown
ORD200033,2023-06-05,C52184,Chair,1,162.77,912 Main St,Online,Cancelled,TRK73312471,4,WINTER15,Facebook,162.77,Negative,Chair Online Facebook WINTER15,"['Chair', 'Online', 'Facebook', 'WINTER15']","['Chair', 'Online', 'Facebook', 'WINTER15']","['chair', 'online', 'facebook', 'winter15']",chair online facebook winter15
ORD200035,2024-12-07,C50304,Monitor,2,465.15,128 Main St,Online,Shipped,TRK46850888,2,SAVE10,Facebook,930.3,Positive,Monitor Online Facebook SAVE10,"['Monitor', 'Online', 'Facebook', 'SAVE10']","['Monitor', 'Online', 'Facebook', 'SAVE10']","['monitor', 'online', 'facebook', 'save10']",monitor online facebook save10
ORD200037,2024-10-14,C10054,Laptop,2,76.74,409 Main St,Cash,Returned,TRK94005261,7,SAVE10,Instagram,153.48,Negative,Laptop Cash Instagram SAVE10,"['Laptop', 'Cash', 'Instagram', 'SAVE10']","['Laptop', 'Cash', 'Instagram', 'SAVE10']","['laptop', 'cash', 'instagram', 'save10']",laptop cash instagram save10
ORD200038,2024-12-19,C15924,Laptop,1,245.89,549 Main St,Debit Card,Delivered,TRK14835975,3,SAVE10,Google,245.89,Positive,Laptop Debit Card Google SAVE10,"['Laptop', 'Debit', 'Card', 'Google', 'SAVE10']","['Laptop', 'Debit', 'Card', 'Google', 'SAVE10']","['laptop', 'debit', 'card', 'google', 'save10']",laptop debit card google save10
ORD200039,2025-02-27,C96664,Printer,3,256.46,666 Main St,Credit Card,Delivered,TRK85508960,4,SAVE10,Referral,769.3799999999999,Positive,Printer Credit Card Referral SAVE10,"['Printer', 'Credit', 'Card', 'Referral', 'SAVE10']","['Printer', 'Credit', 'Card', 'Referral', 'SAVE10']","['printer', 'credit', 'card', 'referral', 'save10']",printer credit card referral save10
ORD200040,2023-08-20,C84766,Desk,2,344.02,267 Main St,Online,Delivered,TRK78967923,4,FREESHIP,Instagram,688.04,Positive,Desk Online Instagram FREESHIP,"['Desk', 'Online', 'Instagram', 'FREESHIP']","['Desk', 'Online', 'Instagram', 'FREESHIP']","['desk', 'online', 'instagram', 'freeship']",desk online instagram freeship
ORD200042,2024-05-06,C28712,Printer,2,151.66,980 Main St,Cash,Cancelled,TRK40772558,6,unknown,Instagram,303.32,Negative,Printer Cash Instagram unknown,"['Printer', 'Cash', 'Instagram', 'unknown']","['Printer', 'Cash', 'Instagram', 'unknown']","['printer', 'cash', 'instagram', 'unknown']",printer cash instagram unknown
ORD200043,2023-12-14,C60572,Chair,3,499.21,871 Main St,Online,Cancelled,TRK20351666,8,unknown,Instagram,1497.63,Negative,Chair Online Instagram unknown,"['Chair', 'Online', 'Instagram', 'unknown']","['Chair', 'Online', 'Instagram', 'unknown']","['chair', 'online', 'instagram', 'unknown']",chair online instagram unknown
ORD200044,2025-04-21,C73225,Phone,2,550.18,996 Main St,Gift Card,Returned,TRK73848522,3,FREESHIP,Referral,1100.36,Negative,Phone Gift Card Referral FREESHIP,"['Phone', 'Gift', 'Card', 'Referral', 'FREESHIP']","['Phone', 'Gift', 'Card', 'Referral', 'FREESHIP']","['phone', 'gift', 'card', 'referral', 'freeship']",phone gift card referral freeship
ORD200045,2024-02-10,C17388,Chair,1,317.25,157 Main St,Debit Card,Returned,TRK47077395,1,SAVE10,Facebook,317.25,Negative,Chair Debit Card Facebook SAVE10,"['Chair', 'Debit', 'Card', 'Facebook', 'SAVE10']","['Chair', 'Debit', 'Card', 'Facebook', 'SAVE10']","['chair', 'debit', 'card', 'facebook', 'save10']",chair debit card facebook save10
ORD200047,2023-07-19,C38134,Desk,2,209.94,323 Main St,Credit Card,Returned,TRK42450754,3,FREESHIP,Email,419.88,Negative,Desk Credit Card Email FREESHIP,"['Desk', 'Credit', 'Card', 'Email', 'FREESHIP']","['Desk', 'Credit', 'Card', 'Email', 'FREESHIP']","['desk', 'credit', 'card', 'email', 'freeship']",desk credit card email freeship
ORD200048,2023-08-26,C12408,Monitor,2,80.77,464 Main St,Debit Card,Shipped,TRK38938858,4,unknown,Google,161.54,Positive,Monitor Debit Card Google unknown,"['Monitor', 'Debit', 'Card', 'Google', 'unknown']","['Monitor', 'Debit', 'Card', 'Google', 'unknown']","['monitor', 'debit', 'card', 'google', 'unknown']",monitor debit card google unknown
ORD200049,2023-10-07,C11985,Printer,1,30.44,633 Main St,Credit Card,Shipped,TRK53272402,1,SAVE10,Email,30.44,Positive,Printer Credit Card Email SAVE10,"['Printer', 'Credit', 'Card', 'Email', 'SAVE10']","['Printer', 'Credit', 'Card', 'Email', 'SAVE10']","['printer', 'credit', 'card', 'email', 'save10']",printer credit card email save10
ORD200050,2023-07-31,C96494,Tablet,1,179.22,446 Main St,Online,Cancelled,TRK14675049,6,FREESHIP,Instagram,179.22,Negative,Tablet Online Instagram FREESHIP,"['Tablet', 'Online', 'Instagram', 'FREESHIP']","['Tablet', 'Online', 'Instagram', 'FREESHIP']","['tablet', 'online', 'instagram', 'freeship']",tablet online instagram freeship
ORD200051,2024-12-30,C36778,Tablet,1,388.33,434 Main St,Cash,Returned,TRK67610289,2,SAVE10,Facebook,388.33,Negative,Tablet Cash Facebook SAVE10,"['Tablet', 'Cash', 'Facebook', 'SAVE10']","['Tablet', 'Cash', 'Facebook', 'SAVE10']","['tablet', 'cash', 'facebook', 'save10']",tablet cash facebook save10
ORD200052,2024-09-08,C30513,Tablet,1,586.44,232 Main St,Online,Returned,TRK64320429,5,SAVE10,Facebook,586.44,Negative,Tablet Online Facebook SAVE10,"['Tablet', 'Online', 'Facebook', 'SAVE10']","['Tablet', 'Online', 'Facebook', 'SAVE10']","['tablet', 'online', 'facebook', 'save10']",tablet online facebook save10
ORD200053,2024-05-18,C67551,Phone,4,488.78,512 Main St,Online,Returned,TRK94992552,5,FREESHIP,Google,1955.12,Negative,Phone Online Google FREESHIP,"['Phone', 'Online', 'Google', 'FREESHIP']","['Phone', 'Online', 'Google', 'FREESHIP']","['phone', 'online', 'google', 'freeship']",phone online google freeship
ORD200055,2025-06-24,C95984,Printer,3,344.4,565 Main St,Online,Cancelled,TRK67434829,3,unknown,Facebook,1033.2,Negative,Printer Online Facebook unknown,"['Printer', 'Online', 'Facebook', 'unknown']","['Printer', 'Online', 'Facebook', 'unknown']","['printer', 'online', 'facebook', 'unknown']",printer online facebook unknown
ORD200056,2023-05-21,C54298,Tablet,3,479.21,566 Main St,Cash,Cancelled,TRK62902341,5,WINTER15,Referral,1437.63,Negative,Tablet Cash Referral WINTER15,"['Tablet', 'Cash', 'Referral', 'WINTER15']","['Tablet', 'Cash', 'Referral', 'WINTER15']","['tablet', 'cash', 'referral', 'winter15']",tablet cash referral winter15
ORD200057,2023-01-22,C88036,Printer,5,314.27,842 Main St,Cash,Returned,TRK52470128,6,SAVE10,Instagram,1571.35,Negative,Printer Cash Instagram SAVE10,"['Printer', 'Cash', 'Instagram', 'SAVE10']","['Printer', 'Cash', 'Instagram', 'SAVE10']","['printer', 'cash', 'instagram', 'save10']",printer cash instagram save10
ORD200058,2023-01-15,C60190,Phone,4,474.69,202 Main St,Gift Card,Cancelled,TRK70857868,6,SAVE10,Google,1898.76,Negative,Phone Gift Card Google SAVE10,"['Phone', 'Gift', 'Card', 'Google', 'SAVE10']","['Phone', 'Gift', 'Card', 'Google', 'SAVE10']","['phone', 'gift', 'card', 'google', 'save10']",phone gift card google save10
ORD200059,2024-09-11,C97603,Chair,4,593.27,811 Main St,Online,Shipped,TRK47055028,5,unknown,Facebook,2373.08,Positive,Chair Online Facebook unknown,"['Chair', 'Online', 'Facebook', 'unknown']","['Chair', 'Online', 'Facebook', 'unknown']","['chair', 'online', 'facebook', 'unknown']",chair online facebook unknown
ORD200060,2024-08-21,C39256,Desk,1,417.1,634 Main St,Debit Card,Returned,TRK23412025,3,FREESHIP,Referral,417.1,Negative,Desk Debit Card Referral FREESHIP,"['Desk', 'Debit', 'Card', 'Referral', 'FREESHIP']","['Desk', 'Debit', 'Card', 'Referral', 'FREESHIP']","['desk', 'debit', 'card', 'referral', 'freeship']",desk debit card referral freeship
ORD200061,2024-03-24,C61618,Desk,4,122.2,104 Main St,Cash,Delivered,TRK43458485,7,FREESHIP,Facebook,488.8,Positive,Desk Cash Facebook FREESHIP,"['Desk', 'Cash', 'Facebook', 'FREESHIP']","['Desk', 'Cash', 'Facebook', 'FREESHIP']","['desk', 'cash', 'facebook', 'freeship']",desk cash facebook freeship
ORD200063,2025-02-02,C96695,Chair,1,564.86,813 Main St,Debit Card,Shipped,TRK64283851,6,WINTER15,Referral,564.86,Positive,Chair Debit Card Referral WINTER15,"['Chair', 'Debit', 'Card', 'Referral', 'WINTER15']","['Chair', 'Debit', 'Card', 'Referral', 'WINTER15']","['chair', 'debit', 'card', 'referral', 'winter15']",chair debit card referral winter15
ORD200064,2025-06-25,C49720,Printer,3,130.61,752 Main St,Debit Card,Cancelled,TRK55785217,4,FREESHIP,Facebook,391.83,Negative,Printer Debit Card Facebook FREESHIP,"['Printer', 'Debit', 'Card', 'Facebook', 'FREESHIP']","['Printer', 'Debit', 'Card', 'Facebook', 'FREESHIP']","['printer', 'debit', 'card', 'facebook', 'freeship']",printer debit card facebook freeship
ORD200065,2023-12-30,C97735,Monitor,5,81.7,385 Main St,Credit Card,Delivered,TRK13743703,6,unknown,Instagram,408.5,Positive,Monitor Credit Card Instagram unknown,"['Monitor', 'Credit', 'Card', 'Instagram', 'unknown']","['Monitor', 'Credit', 'Card', 'Instagram', 'unknown']","['monitor', 'credit', 'card', 'instagram', 'unknown']",monitor credit card instagram unknown
ORD200066,2024-11-15,C18104,Chair,5,127.18,715 Main St,Cash,Cancelled,TRK15488568,9,SAVE10,Referral,635.9000000000001,Negative,Chair Cash Referral SAVE10,"['Chair', 'Cash', 'Referral', 'SAVE10']","['Chair', 'Cash', 'Referral', 'SAVE10']","['chair', 'cash', 'referral', 'save10']",chair cash referral save10
ORD200067,2024-12-09,C25587,Printer,4,12.1,440 Main St,Debit Card,Cancelled,TRK55105323,8,unknown,Google,48.4,Negative,Printer Debit Card Google unknown,"['Printer', 'Debit', 'Card', 'Google', 'unknown']","['Printer', 'Debit', 'Card', 'Google', 'unknown']","['printer', 'debit', 'card', 'google', 'unknown']",printer debit card google unknown
ORD200069,2023-05-11,C43338,Monitor,3,478.65,552 Main St,Online,Shipped,TRK35241775,4,unknown,Referral,1435.95,Positive,Monitor Online Referral unknown,"['Monitor', 'Online', 'Referral', 'unknown']","['Monitor', 'Online', 'Referral', 'unknown']","['monitor', 'online', 'referral', 'unknown']",monitor online referral unknown
ORD200072,2024-12-22,C19451,Tablet,4,589.44,942 Main St,Gift Card,Returned,TRK87787793,5,unknown,Facebook,2357.76,Negative,Tablet Gift Card Facebook unknown,"['Tablet', 'Gift', 'Card', 'Facebook', 'unknown']","['Tablet', 'Gift', 'Card', 'Facebook', 'unknown']","['tablet', 'gift', 'card', 'facebook', 'unknown']",tablet gift card facebook unknown
ORD200073,2023-05-03,C17269,Monitor,4,433.45,129 Main St,Gift Card,Cancelled,TRK79608389,4,unknown,Facebook,1733.8,Negative,Monitor Gift Card Facebook unknown,"['Monitor', 'Gift', 'Card', 'Facebook', 'unknown']","['Monitor', 'Gift', 'Card', 'Facebook', 'unknown']","['monitor', 'gift', 'card', 'facebook', 'unknown']",monitor gift card facebook unknown
ORD200075,2023-09-26,C80651,Tablet,3,398.17,917 Main St,Debit Card,Delivered,TRK14846720,5,SAVE10,Email,1194.51,Positive,Tablet Debit Card Email SAVE10,"['Tablet', 'Debit', 'Card', 'Email', 'SAVE10']","['Tablet', 'Debit', 'Card', 'Email', 'SAVE10']","['tablet', 'debit', 'card', 'email', 'save10']",tablet debit card email save10
ORD200076,2024-03-31,C58638,Laptop,4,382.88,239 Main St,Cash,Cancelled,TRK38224871,6,WINTER15,Email,1531.52,Negative,Laptop Cash Email WINTER15,"['Laptop', 'Cash', 'Email', 'WINTER15']","['Laptop', 'Cash', 'Email', 'WINTER15']","['laptop', 'cash', 'email', 'winter15']",laptop cash email winter15
ORD200077,2024-05-24,C50121,Phone,1,583.18,348 Main St,Credit Card,Returned,TRK79810059,5,unknown,Google,583.18,Negative,Phone Credit Card Google unknown,"['Phone', 'Credit', 'Card', 'Google', 'unknown']","['Phone', 'Credit', 'Card', 'Google', 'unknown']","['phone', 'credit', 'card', 'google', 'unknown']",phone credit card google unknown
ORD200078,2024-08-06,C32029,Printer,4,175.36,146 Main St,Debit Card,Delivered,TRK68535532,4,FREESHIP,Instagram,701.44,Positive,Printer Debit Card Instagram FREESHIP,"['Printer', 'Debit', 'Card', 'Instagram', 'FREESHIP']","['Printer', 'Debit', 'Card', 'Instagram', 'FREESHIP']","['printer', 'debit', 'card', 'instagram', 'freeship']",printer debit card instagram freeship
ORD200079,2025-03-10,C76700,Tablet,2,311.91,103 Main St,Online,Shipped,TRK13036341,2,unknown,Facebook,623.82,Positive,Tablet Online Facebook unknown,"['Tablet', 'Online', 'Facebook', 'unknown']","['Tablet', 'Online', 'Facebook', 'unknown']","['tablet', 'online', 'facebook', 'unknown']",tablet online facebook unknown
ORD200080,2023-06-27,C29041,Phone,3,589.56,591 Main St,Online,Returned,TRK28840655,6,unknown,Facebook,1768.68,Negative,Phone Online Facebook unknown,"['Phone', 'Online', 'Facebook', 'unknown']","['Phone', 'Online', 'Facebook', 'unknown']","['phone', 'online', 'facebook', 'unknown']",phone online facebook unknown
ORD200081,2023-06-08,C29314,Monitor,2,394.3,496 Main St,Cash,Shipped,TRK59876213,6,FREESHIP,Email,788.6,Positive,Monitor Cash Email FREESHIP,"['Monitor', 'Cash', 'Email', 'FREESHIP']","['Monitor', 'Cash', 'Email', 'FREESHIP']","['monitor', 'cash', 'email', 'freeship']",monitor cash email freeship
ORD200082,2024-01-05,C65799,Tablet,4,565.2,971 Main St,Debit Card,Shipped,TRK66906607,9,SAVE10,Google,2260.8,Positive,Tablet Debit Card Google SAVE10,"['Tablet', 'Debit', 'Card', 'Google', 'SAVE10']","['Tablet', 'Debit', 'Card', 'Google', 'SAVE10']","['tablet', 'debit', 'card', 'google', 'save10']",tablet debit card google save10
ORD200083,2023-08-22,C15681,Laptop,4,540.41,989 Main St,Credit Card,Cancelled,TRK75112172,6,unknown,Referral,2161.64,Negative,Laptop Credit Card Referral unknown,"['Laptop', 'Credit', 'Card', 'Referral', 'unknown']","['Laptop', 'Credit', 'Card', 'Referral', 'unknown']","['laptop', 'credit', 'card', 'referral', 'unknown']",laptop credit card referral unknown
ORD200084,2023-08-28,C64160,Monitor,2,165.49,967 Main St,Online,Shipped,TRK34121529,4,WINTER15,Instagram,330.98,Positive,Monitor Online Instagram WINTER15,"['Monitor', 'Online', 'Instagram', 'WINTER15']","['Monitor', 'Online', 'Instagram', 'WINTER15']","['monitor', 'online', 'instagram', 'winter15']",monitor online instagram winter15
ORD200085,2024-09-09,C14553,Tablet,3,146.73,768 Main St,Cash,Delivered,TRK93538334,8,FREESHIP,Email,440.1899999999999,Positive,Tablet Cash Email FREESHIP,"['Tablet', 'Cash', 'Email', 'FREESHIP']","['Tablet', 'Cash', 'Email', 'FREESHIP']","['tablet', 'cash', 'email', 'freeship']",tablet cash email freeship
ORD200086,2024-06-19,C88205,Printer,5,643.03,447 Main St,Online,Cancelled,TRK93504166,5,FREESHIP,Referral,3215.15,Negative,Printer Online Referral FREESHIP,"['Printer', 'Online', 'Referral', 'FREESHIP']","['Printer', 'Online', 'Referral', 'FREESHIP']","['printer', 'online', 'referral', 'freeship']",printer online referral freeship
ORD200087,2024-10-10,C91245,Tablet,3,225.11,915 Main St,Cash,Shipped,TRK46976391,4,SAVE10,Facebook,675.33,Positive,Tablet Cash Facebook SAVE10,"['Tablet', 'Cash', 'Facebook', 'SAVE10']","['Tablet', 'Cash', 'Facebook', 'SAVE10']","['tablet', 'cash', 'facebook', 'save10']",tablet cash facebook save10
ORD200088,2025-06-05,C75439,Desk,3,114.81,318 Main St,Gift Card,Cancelled,TRK19831653,7,unknown,Google,344.43,Negative,Desk Gift Card Google unknown,"['Desk', 'Gift', 'Card', 'Google', 'unknown']","['Desk', 'Gift', 'Card', 'Google', 'unknown']","['desk', 'gift', 'card', 'google', 'unknown']",desk gift card google unknown
ORD200089,2025-02-25,C17181,Printer,5,455.33,291 Main St,Credit Card,Cancelled,TRK78912978,8,FREESHIP,Google,2276.65,Negative,Printer Credit Card Google FREESHIP,"['Printer', 'Credit', 'Card', 'Google', 'FREESHIP']","['Printer', 'Credit', 'Card', 'Google', 'FREESHIP']","['printer', 'credit', 'card', 'google', 'freeship']",printer credit card google freeship
ORD200090,2023-09-18,C36540,Chair,4,182.08,611 Main St,Gift Card,Delivered,TRK35828122,4,SAVE10,Email,728.32,Positive,Chair Gift Card Email SAVE10,"['Chair', 'Gift', 'Card', 'Email', 'SAVE10']","['Chair', 'Gift', 'Card', 'Email', 'SAVE10']","['chair', 'gift', 'card', 'email', 'save10']",chair gift card email save10
ORD200091,2023-03-15,C98216,Laptop,5,492.75,196 Main St,Cash,Shipped,TRK40986666,6,WINTER15,Referral,2463.75,Positive,Laptop Cash Referral WINTER15,"['Laptop', 'Cash', 'Referral', 'WINTER15']","['Laptop', 'Cash', 'Referral', 'WINTER15']","['laptop', 'cash', 'referral', 'winter15']",laptop cash referral winter15
ORD200092,2024-06-10,C29568,Printer,4,48.61,203 Main St,Online,Shipped,TRK46531075,7,FREESHIP,Facebook,194.44,Positive,Printer Online Facebook FREESHIP,"['Printer', 'Online', 'Facebook', 'FREESHIP']","['Printer', 'Online', 'Facebook', 'FREESHIP']","['printer', 'online', 'facebook', 'freeship']",printer online facebook freeship
ORD200093,2023-01-14,C97262,Desk,4,431.01,837 Main St,Credit Card,Returned,TRK65990229,7,unknown,Referral,1724.04,Negative,Desk Credit Card Referral unknown,"['Desk', 'Credit', 'Card', 'Referral', 'unknown']","['Desk', 'Credit', 'Card', 'Referral', 'unknown']","['desk', 'credit', 'card', 'referral', 'unknown']",desk credit card referral unknown
ORD200094,2023-02-11,C79821,Chair,1,531.18,781 Main St,Gift Card,Returned,TRK12780193,6,WINTER15,Instagram,531.18,Negative,Chair Gift Card Instagram WINTER15,"['Chair', 'Gift', 'Card', 'Instagram', 'WINTER15']","['Chair', 'Gift', 'Card', 'Instagram', 'WINTER15']","['chair', 'gift', 'card', 'instagram', 'winter15']",chair gift card instagram winter15
